,area,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,label
8,41036.432121,0.635350347370715,309.78125,0.620592808401262,0.648531198501587,0.440232134751371,0.526596189753429,0.559117306325887,0.584061739412514,0.62807240840551,0.470303455720077,0.738982124103082,0.658577057155403,0.216901097345997,0.146135132489223,0.557606127616522,0.295012625488075,0.249568481098961,0.188275646519017,0.321983637036504,2.0
11,31611.387095,0.615978290114486,290.17391304,0.401654813373298,0.53882023692131,0.49436101944823,0.567462876177671,0.565421423368287,0.59158092946337,0.648699513652868,0.558502349937171,0.728846366991077,0.612449889643151,0.257679585563509,0.199356891476271,0.575053869632252,0.31347226312286,0.265222372454509,0.27469778191625,0.342814284458495,2.0
13,24397.301298,0.569856146519834,329.70588235,0.488340971144763,0.539169969883832,0.330609971826727,0.366421992128546,0.351830888878215,0.433580146594481,0.435831513594497,0.417195208370686,0.603060284798795,0.53514797037298,0.106644471175969,0.058539555027065,0.579743599349802,0.164244672452862,0.095414076847109,0.135541076687249,0.152562845328992,2.0
15,27726.532223,0.595920466184616,298.0,0.512427728772163,0.598363882303238,0.371345224678516,0.432786020040512,0.41686728656292,0.435444140434265,0.470747308135033,0.442612348794937,0.636852250099182,0.554589238166809,0.132366311252117,0.091428227052093,0.599628406763077,0.166258370578289,0.145571001619101,0.159662836641073,0.178483456373215,2.0
16,110344.54007,0.612343865423346,270.4,0.5491258019778,0.63907747142878,0.424128412900858,0.515136386581402,0.51014052129271,0.546825746195999,0.540591271229126,0.464750234056358,0.58341690313876,0.640283044558674,0.203461257768935,0.146276853681453,0.610838254192966,0.260879172751652,0.211603492198877,0.176555439754946,0.250022237474595,2.0
18,39892.221678,0.619112300376097,254.02857143,0.424993794411421,0.509986170878013,0.454793674250444,0.469686093843646,0.585078188942538,0.580169927742746,0.57249936958154,0.579848979910215,0.569883543584082,0.649346954292721,0.199767232665585,0.167007378923396,0.554158000482453,0.300035903851191,0.293682581641608,0.254267852132519,0.273614291308655,2.0
22,29914.214815,0.603773010549722,278.36842105,0.41963319921935,0.576714810949785,0.448189957274331,0.54217920700709,0.523500292389481,0.580138343351859,0.632366448640823,0.479373990937516,0.755940687877161,0.6397818227609,0.234501939680841,0.154698747451659,0.611139488992868,0.302564107709461,0.236705653369427,0.200997427105904,0.325311515618254,2.0
37,26071.134269,0.565919039097238,317.60869565,0.592128190588444,0.609283244356196,0.461859155842598,0.542172702068978,0.615507226041023,0.625358171919559,0.661022684675582,0.198363035917282,0.512647264815391,0.590369284152985,0.241366324906654,0.170843657660992,0.222332462668419,0.339107643416587,0.307313619141883,0.105794415036415,0.368739851611726,2.0
40,139266.23936,0.591173758782239,318.70344828,0.532712928327431,0.615743469194587,0.419985602991989,0.505467152927976,0.541835369816814,0.563517766288552,0.542982545269438,0.406981531367359,0.553208492429133,0.647735372245074,0.204468273190388,0.137498077613661,0.489934276893319,0.273965289274535,0.236422635228985,0.188431519020601,0.252825816670262,2.0
41,32738.462769,0.524279998520673,264.04347826,0.538200407210043,0.607444618718099,0.445594006170661,0.533437622300649,0.578857533002304,0.605407970436549,0.574580109725564,0.504375307741812,0.526086593078355,0.668128938998206,0.229970552911193,0.170868602723388,0.586273934881566,0.314567811913409,0.27091106065249,0.229201816653801,0.277743689337019,2.0
