,PT_NDMI_0,PT_NDMI_1,PT_NDMI_2,PT_NDMI_3,PT_NDMI_4,PT_NDMI_5,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_0,PT_NDVI_1,PT_NDVI_2,PT_NDVI_3,PT_NDVI_4,PT_NDVI_5,area,LT_mag,TXU_asm,TXU_HOM,TXU_ENT,TXU_CON,Area,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,ndvi_rvalue,ndmi_rvalue,nbr_rvalue,ndvi_slope,ndmi_slope,nbr_slope,label
31558,0.08,0.19,0.22,0.22,0.23,0.12,0.38,0.51,0.54,0.56,0.57,0.24,0.49,0.55,0.58,0.6,0.62,0.13,34841.27,323.66,0.08,0.02,1.75,2437.3,0.0,0.01,2893.05,5.99,0.0,1037.25,2.15,1.69,-0.4549196074128719,0.2750727624294014,-0.2043399513606676,-0.04485714285714286,0.009142857142857144,-0.01428571428571429,2.0
45115,0.15,0.18,0.26,0.29,0.32,0.37,0.46,0.49,0.58,0.57,0.61,0.64,0.47,0.56,0.61,0.65,0.67,0.65,297115.02,375.62,0.03,0.01,3.18,36680.82,0.0,0.05,1336.12,8.14,0.01,372.26,2.27,2.3,0.8994132780622377,0.9890818973475712,0.9587532349187684,0.036285714285714296,0.04428571428571428,0.03571428571428571,2.0
47003,0.01,0.02,0.09,0.03,0.04,0.02,0.27,0.29,0.34,0.27,0.28,0.26,0.43,0.42,0.4,0.46,0.45,0.46,11548.03,248.4,0.09,0.01,1.87,40760.83,0.0,0.01,3533.95,4.36,0.0,1185.32,1.46,1.23,0.6620511221285625,0.09276773134741388,-0.2783031940422414,0.008571428571428577,0.0014285714285714286,-0.0042857142857142825,1.0
44014,-0.07,0.04,0.01,0.07,0.06,0.03,0.23,0.35,0.34,0.37,0.34,0.3,0.35,0.48,0.49,0.54,0.48,0.46,16830.0,301.67,0.06,0.01,0.6,2337.18,0.0,0.01,3014.9,4.6,0.0,1093.94,1.67,1.3,0.5079398258637721,0.6567069543823797,0.3714516750695277,0.01714285714285715,0.017714285714285714,0.01,2.0
46021,0.04,-0.02,0.04,0.03,0.03,0.06,0.24,0.22,0.29,0.27,0.26,0.3,0.31,0.44,0.5,0.43,0.48,0.54,65982.97,367.53,0.03,0.01,2.96,58061.7,0.0,0.02,1991.08,5.95,0.01,607.12,1.81,1.68,0.8068423483216582,0.4780914437337574,0.7100716024967264,0.03428571428571429,0.006857142857142857,0.011428571428571429,1.0
5444,0.03,-0.01,0.06,0.08,0.1,0.18,0.27,0.24,0.33,0.36,0.45,0.5,0.34,0.4,0.47,0.42,0.56,0.65,1242793.87,480.35,0.02,0.01,3.57,52719.84,0.0,0.13,787.32,9.92,0.02,145.9,1.84,2.8,0.9301482746630314,0.9043981463992808,0.9571719004835412,0.05657142857142858,0.031428571428571424,0.05171428571428571,2.0
4518,-0.0,-0.04,-0.01,-0.02,0.01,0.0,0.16,0.16,0.22,0.21,0.31,0.29,0.25,0.32,0.41,0.4,0.45,0.46,53334.96,391.14,0.04,0.01,2.98,35383.14,0.0,0.02,2109.98,5.74,0.0,650.77,1.77,1.62,0.9396852006700981,0.4183300132670377,0.9177828809249848,0.04085714285714286,0.004,0.03114285714285714,1.0
21352,0.07,0.09,0.15,0.17,0.2,0.2,0.37,0.39,0.47,0.51,0.53,0.51,0.46,0.45,0.55,0.62,0.63,0.63,495964.77,367.46,0.04,0.02,2.97,39413.77,0.0,0.11,1639.4,13.46,0.02,304.52,2.5,3.8,0.9257332457829826,0.9652341781316804,0.9155358977486604,0.04171428571428571,0.028571428571428574,0.03314285714285715,2.0
114,0.01,0.05,0.05,0.11,0.18,0.13,0.26,0.31,0.27,0.34,0.45,0.4,0.43,0.43,0.44,0.49,0.56,0.53,283721.6,459.98,0.04,0.01,2.75,41938.99,0.0,0.07,2109.37,12.48,0.02,523.49,3.1,3.52,0.8995318277623696,0.8945218544061183,0.8517763864725891,0.026857142857142868,0.03,0.03400000000000001,2.0
51423,0.18,0.03,0.2,0.14,0.12,0.16,0.41,0.21,0.39,0.41,0.38,0.43,0.46,0.42,0.29,0.56,0.54,0.53,24873.2,323.73,0.08,0.01,2.21,30892.25,0.0,0.01,2526.4,4.67,0.0,748.99,1.38,1.32,0.515980083252315,0.09776973121744012,0.4152442353145759,0.028000000000000004,0.0031428571428571447,0.018000000000000002,1.0
34670,-0.02,-0.08,-0.07,-0.01,-0.03,-0.07,0.26,0.19,0.19,0.24,0.26,0.09,0.34,0.32,0.36,0.4,0.4,0.29,28488.13,335.06,0.1,0.01,1.46,44694.86,0.0,0.01,3567.93,6.93,0.0,1302.17,2.53,1.96,0.036438441509901415,-0.07100716024967263,-0.4872041489087965,0.0008571428571428532,-0.001142857142857143,-0.01685714285714286,2.0
4907,0.24,0.25,0.26,0.27,0.23,0.21,0.49,0.55,0.58,0.59,0.58,0.58,0.31,0.56,0.57,0.53,0.6,0.61,5385.53,348.78,0.06,0.01,0.26,4638.41,0.0,0.0,5397.31,4.82,0.0,2133.47,1.91,1.36,0.7572039565921009,-0.4948716593053932,0.7810787627463988,0.04514285714285714,-0.005714285714285713,0.0157142857142857,2.0
40050,-0.28,-0.08,-0.1,-0.15,-0.1,-0.01,-0.22,0.17,0.14,0.08,0.16,0.29,0.28,0.4,0.38,0.38,0.35,0.51,3238.43,762.0,0.05,0.01,0.06,429.23,0.0,0.0,7421.3,4.9,0.0,2229.82,1.47,1.38,0.7125910838691074,0.7319488567651845,0.7618862437533007,0.028571428571428567,0.035428571428571434,0.07028571428571427,1.0
14593,-0.01,0.03,0.14,0.17,0.09,0.12,0.28,0.3,0.39,0.47,0.4,0.44,0.41,0.42,0.39,0.53,0.5,0.54,779998.08,449.37,0.02,0.01,3.38,33496.35,0.0,0.1,970.68,9.94,0.03,266.43,2.73,2.81,0.8347541254273011,0.6719570310118433,0.8339691214334592,0.029428571428571432,0.02457142857142857,0.03371428571428572,2.0
10442,0.13,0.05,0.09,0.1,0.04,0.06,0.44,0.29,0.36,0.4,0.3,0.38,0.5,0.36,0.47,0.49,0.36,0.5,33109.17,288.55,0.08,0.02,1.97,20582.63,0.0,0.02,3416.15,7.31,0.01,1192.62,2.55,2.06,0.01571671825178561,-0.5765553103566433,-0.2115678723318308,0.0005714285714285719,-0.010571428571428574,-0.006571428571428568,1.0
33493,0.09,0.16,0.17,0.23,0.22,0.21,0.4,0.44,0.46,0.55,0.56,0.44,0.47,0.41,0.41,0.54,0.59,0.47,39064.09,434.86,0.09,0.01,2.14,40839.87,0.0,0.01,2879.91,6.35,0.0,998.43,2.2,1.79,0.4996893444869409,0.8609160647753273,0.5342064787816659,0.019142857142857142,0.024000000000000004,0.01857142857142857,2.0
50976,0.12,0.16,-0.03,0.05,0.15,0.07,0.35,0.38,0.21,0.21,0.4,0.33,0.39,0.43,0.39,0.36,0.56,0.53,25591.09,395.54,0.08,0.01,1.03,6659.04,0.0,0.01,4659.89,8.23,0.01,1648.65,2.91,2.32,0.6877705626869187,-0.1490160175991503,-0.02557943557892793,0.030285714285714287,-0.005714285714285713,-0.001142857142857136,2.0
339,0.05,0.06,0.05,0.1,0.15,0.11,0.31,0.32,0.31,0.38,0.43,0.37,0.42,0.45,0.42,0.51,0.55,0.39,101560.7,383.7,0.04,0.02,2.95,30181.81,0.0,0.02,1499.64,5.61,0.01,504.66,1.89,1.58,0.20958234304326767,0.8216907228562966,0.7723929758166559,0.006857142857142865,0.017714285714285714,0.02,2.0
34429,0.08,-0.0,-0.03,0.03,0.03,-0.0,0.43,0.3,0.24,0.28,0.33,0.28,0.47,0.43,0.36,0.34,0.47,0.44,15221.93,337.0,0.11,0.01,1.63,50482.09,0.0,0.01,3445.6,4.91,0.0,964.78,1.38,1.39,-0.04802736418217796,-0.35503580124836315,-0.5042150376900753,-0.001428571428571425,-0.0071428571428571435,-0.01771428571428571,2.0
41459,0.02,0.16,0.12,0.26,0.27,0.1,0.34,0.48,0.26,0.58,0.62,0.21,0.48,0.63,0.22,0.71,0.73,0.1,62715.01,378.08,0.04,0.02,2.9,8534.41,0.0,0.02,1924.04,5.39,0.0,536.69,1.5,1.52,-0.22429124988124652,0.4809272937558203,0.028234816485421945,-0.031714285714285716,0.024857142857142862,0.0025714285714285713,2.0
25791,0.01,0.01,0.05,0.12,0.12,0.19,0.31,0.27,0.34,0.43,0.44,0.52,0.45,0.41,0.49,0.57,0.47,0.6,66562.2,418.15,0.05,0.01,2.73,85645.25,0.0,0.02,2175.21,6.31,0.01,615.31,1.79,1.78,0.7417986358969972,0.9648619080742016,0.9385762710612576,0.02885714285714285,0.03714285714285714,0.04714285714285714,2.0
31724,0.13,0.02,0.03,0.11,0.06,-0.04,0.44,0.32,0.32,0.41,0.37,0.25,0.29,0.41,0.49,0.52,0.47,0.4,43774.94,423.07,0.05,0.01,2.55,85265.6,0.0,0.01,2145.92,5.27,0.0,727.77,1.79,1.49,0.4911922650753382,-0.5565865486095761,-0.5491131683522631,0.021714285714285717,-0.018571428571428576,-0.020285714285714292,2.0
13215,0.06,-0.01,0.02,-0.04,-0.01,0.04,0.24,0.2,0.28,0.21,0.26,0.3,0.24,0.4,0.44,0.34,0.43,0.27,18394.07,512.92,0.07,0.01,2.06,49861.29,0.0,0.01,2756.48,4.39,0.0,948.26,1.51,1.24,0.08876894137645043,-0.2319084142609793,0.5590620326655563,0.004000000000000003,-0.004571428571428571,0.011714285714285712,1.0
16833,0.02,0.04,0.1,0.14,0.22,0.19,0.31,0.35,0.41,0.47,0.48,0.54,0.48,0.51,0.55,0.6,0.57,0.63,95135.68,411.36,0.03,0.02,3.05,64159.64,0.0,0.02,1529.24,5.29,0.01,505.37,1.75,1.49,0.9398200905360062,0.9542172772722668,0.9897433186107872,0.028,0.04085714285714286,0.04571428571428573,2.0
42307,0.12,0.08,0.13,0.13,0.16,0.15,0.32,0.28,0.36,0.36,0.36,0.35,0.37,0.24,0.35,0.36,0.4,0.39,16082.46,304.2,0.09,0.01,1.3,66734.01,0.0,0.01,3215.9,4.75,0.0,1106.3,1.63,1.34,0.5459609466035208,0.7480200720592705,0.6413005038103989,0.016857142857142862,0.011142857142857144,0.011142857142857137,2.0
33687,-0.14,-0.13,-0.03,0.03,0.07,0.09,-0.04,0.03,0.23,0.32,0.37,0.39,0.15,0.26,0.38,0.47,0.54,0.58,81489.65,746.96,0.07,0.01,2.11,27583.55,0.0,0.02,2195.03,7.05,0.01,836.61,2.69,1.99,0.9862208570839331,0.9744947815308612,0.958851178344954,0.08799999999999998,0.05171428571428572,0.09314285714285712,1.0
36318,0.02,-0.03,0.06,0.01,0.05,-0.0,0.17,0.15,0.26,0.27,0.33,0.27,0.18,0.29,0.27,0.45,0.45,0.46,55064.52,687.69,0.03,0.02,3.09,64895.36,0.0,0.02,1872.04,5.32,0.01,624.51,1.77,1.5,0.9240362862734884,0.14526840416555112,0.8224655219018309,0.058857142857142865,0.0025714285714285717,0.03,1.0
155,0.05,0.17,0.05,0.02,0.17,0.12,0.35,0.48,0.33,0.3,0.49,0.44,0.44,0.61,0.39,0.48,0.62,0.54,24047.96,246.21,0.08,0.02,2.12,5881.43,0.0,0.01,2638.68,4.77,0.0,824.59,1.49,1.35,0.35680929444005205,0.2606425564598916,0.2939335436952081,0.017714285714285717,0.009142857142857142,0.012857142857142859,2.0
50015,-0.04,0.13,0.1,0.15,0.1,0.25,0.21,0.43,0.38,0.39,0.37,0.53,0.41,0.59,0.54,0.58,0.55,0.43,123791.49,426.38,0.03,0.02,3.13,21848.81,0.0,0.03,1400.81,5.96,0.01,414.32,1.76,1.68,0.013816671582460312,0.8020560861796204,0.7358533865794514,0.0005714285714285768,0.040285714285714286,0.04085714285714286,2.0
36336,0.12,0.05,0.07,0.07,0.15,0.08,0.32,0.21,0.34,0.36,0.42,0.39,0.37,0.22,0.48,0.5,0.34,0.52,30256.68,528.72,0.08,0.02,2.14,10790.94,0.0,0.01,2433.21,5.12,0.0,827.38,1.74,1.44,0.5196569581264322,0.1428571428571429,0.7328416800608244,0.032285714285714286,0.002857142857142857,0.028571428571428567,1.0
40353,-0.04,-0.26,-0.19,-0.23,0.02,0.04,0.21,-0.07,0.01,-0.02,0.29,0.24,0.36,0.21,0.23,0.27,0.31,0.39,12422.77,566.14,0.11,0.02,0.78,2692.38,0.0,0.01,4240.74,5.24,0.0,1520.01,1.88,1.48,0.36639674581314974,0.484596388235812,0.4164759059027818,0.014000000000000005,0.03428571428571429,0.03428571428571429,2.0
42218,-0.02,0.02,0.21,0.14,0.2,0.15,0.29,0.32,0.54,0.48,0.5,0.44,0.35,0.43,0.63,0.57,0.64,0.54,153581.17,385.52,0.04,0.02,2.96,23865.95,0.0,0.03,1524.92,7.02,0.01,535.69,2.47,1.98,0.7064547692625658,0.7409963766794686,0.6491842406291586,0.043428571428571434,0.037714285714285714,0.035142857142857135,2.0
33246,-0.01,0.02,0.06,0.1,0.12,0.16,0.19,0.27,0.33,0.41,0.42,0.44,0.39,0.46,0.52,0.54,0.54,0.42,66705.97,446.05,0.04,0.01,2.98,39770.78,0.0,0.02,1785.58,5.55,0.0,512.17,1.59,1.57,0.3391055723730541,0.9970472376488456,0.9637356475093378,0.011714285714285712,0.034,0.05085714285714285,1.0
42966,0.15,0.07,0.0,0.05,0.08,0.15,0.34,0.3,0.22,0.29,0.31,0.41,0.23,0.35,0.34,0.44,0.48,0.5,12949.6,479.88,0.08,0.01,2.1,91444.11,0.0,0.01,4281.52,5.88,0.0,1718.54,2.36,1.66,0.9607339978437676,0.07304996881109421,0.38532914903739857,0.05257142857142857,0.002285714285714287,0.01285714285714285,1.0
7219,-0.01,-0.14,-0.25,0.06,-0.07,-0.01,0.05,-0.04,-0.11,0.21,0.2,0.27,0.17,0.15,0.27,0.17,0.46,0.49,3450.43,727.5,0.13,0.0,0.06,1447.2,0.0,0.0,7421.3,4.9,0.0,2623.83,1.73,1.38,0.847121953618321,0.25082460561653364,0.7473507972046634,0.06942857142857144,0.014857142857142859,0.06114285714285715,1.0
16306,-0.19,-0.17,-0.07,0.26,0.07,-0.08,-0.11,-0.03,0.12,0.57,0.27,0.18,0.31,0.34,0.4,0.15,0.28,0.42,3071.03,787.83,0.17,0.02,0.27,9392.67,0.0,0.0,7421.3,4.9,0.0,2229.82,1.47,1.38,0.065924778791836,0.5050058243683389,0.6204578304285111,0.003428571428571427,0.04571428571428573,0.08,1.0
14969,0.13,0.08,0.12,0.14,0.21,0.25,0.46,0.28,0.41,0.45,0.51,0.56,0.52,0.31,0.44,0.56,0.6,0.67,19594.08,351.1,0.08,0.01,2.07,9632.26,0.0,0.01,3598.21,5.57,0.0,1157.68,1.79,1.57,0.7310322127119937,0.8589913762363758,0.6843373421749414,0.049714285714285725,0.028857142857142862,0.03514285714285715,2.0
39083,0.06,0.14,0.12,0.14,0.08,0.09,0.3,0.44,0.41,0.45,0.39,0.31,0.39,0.47,0.53,0.54,0.49,0.33,97846.4,478.62,0.04,0.02,2.93,24145.95,0.0,0.02,1732.89,6.55,0.01,440.93,1.67,1.85,-0.1489044871054117,-0.016043698370396348,-0.04980439460163398,-0.006571428571428568,-0.0002857142857142864,-0.0017142857142857114,1.0
23882,0.24,-0.08,0.03,0.05,-0.02,0.09,0.57,0.19,0.36,0.37,0.31,0.41,0.42,0.35,0.52,0.55,0.51,0.55,8036.64,423.87,0.08,0.01,0.45,3154.01,0.0,0.01,5442.29,5.68,0.0,1994.41,2.08,1.6,0.7663265153922261,-0.2686338189113132,-0.18439770404181385,0.033142857142857154,-0.015714285714285712,-0.012285714285714285,2.0
