,PT_NDVI_0,LT_mag,PT_NDVI_2,PT_NDVI_1,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_4,PT_NDVI_3,PT_NDMI_1,PT_NDMI_0,PT_NDVI_5,PT_NDMI_3,PT_NDMI_2,PT_NDMI_5,PT_NDMI_4,Area,Perimeter,P/A,P/sqrt(A),Max.Distanc,D/A,D/sqrt(A),Shape Index,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue,label
134,0.6019795575399999,249.72727273,0.68884680925,0.65057904297,0.46189471118,0.51178140506,0.5889782348,0.5663784492399999,0.60502879274,0.61431416004,0.56043340698,0.6432320475600001,0.16700206024,0.1078913636,0.6392395208,0.24690756634,0.27588664188,0.31903836612,0.28317069431,17182.315723,0.007006859216100001,3112.1578071,4.6697378527,0.0023025627456,1022.7033831,1.5345483732,1.3173087272,-0.015109244661,0.6817938994949999,-0.5099891565357689,0.3800246005654706,0.031135666418999994,0.16499406652100002,0.8608359903797208,0.06100202927995066,0.022111606789999984,0.510961388006,0.8550578443621404,0.0647815083044541,2.0
257,0.5321451248899999,291.0,0.4843051864,0.5768680682899999,0.34408374683,0.36562801898,0.47224229795,0.35899904441,0.48402036451,0.50636191611,0.5453319041800001,0.4702663616,0.059548676066,0.042460568282,0.6063680538399999,0.051895850897,0.13690566465,0.17634259937,0.15757792443,15114.745139,0.0064678700457,3298.3552828,4.6188021535,0.0022867373846,1166.1446936,1.6329931619,1.3029400317,0.012002668888000008,0.5006199081979998,0.32427520127081,0.5944746703340493,0.025426010638799998,0.0401761111662,0.7024386337084864,0.1859067353635701,0.029324586082000007,0.34947657014600003,0.6650762269123185,0.2206128296064893,2.0
541,0.59703113187,279.0,0.58100376206,0.5194568287899999,0.50331633514,0.52332129978,0.56126885453,0.58445991239,0.55766555186,0.5976522641800001,0.6421009263699999,0.5952208272899999,0.21507223287,0.19641232418,0.55004840897,0.28023197478,0.27037525562,0.31627071577,0.26200555217,17168.040502,0.0064678700457,2872.7610527,4.3105272486000015,0.0019433530911,863.15727315,1.2951522516,1.2159772866,0.012228032467000006,0.5408820532949999,0.4164362315426773,0.4855277154752233,0.019402726235000008,0.21058296753699995,0.8412561864667172,0.07408968006237038,0.014505862613000018,0.5213559887089999,0.8046889820033227,0.10052468512511063,2.0
679,0.43631175963,281.22222222,0.49889209813,0.50220953615,0.38504404579,0.37314076963,0.42544506035,0.39822777863,0.46267508385,0.4843130133,0.5194773525899999,0.5796878053100001,0.070505488809,0.08422379578400001,0.5350489106899999,0.11205501627,0.12158879222,0.16171505357000002,0.16477951983,92481.311712,0.025332491012,2088.6291686,7.2739383858,0.0071758468499,591.63873907,2.0604632931,2.0519401343,0.008626400353999987,0.501183939512,0.4159061568854691,0.48614140369965797,0.022560985713200005,0.05844581700019999,0.9155038401191644,0.029107635906305357,0.025957451084000008,0.35088798789999986,0.902461286065537,0.036028080195423244,2.0
470,0.57866067803,273.71428571,0.483260267,0.0,0.44957985573,0.0,0.5517587634000001,0.55217560502,0.51729808782,0.56301157003,0.5885849844600001,0.7124378916799999,0.0,0.11723809165,0.6908385892199999,0.22066426832,0.22516436286,0.21832089161,0.18592387958,24078.668865,0.0080848375571,2588.8253673,4.57495711,0.0026949458524,862.94178909,1.5249857033,1.2905715733,0.14870018958999998,0.04892377770200007,0.8069706946913878,0.09880440184536399,0.039740129994,0.05079429049199999,0.6524562364706568,0.2327015057410947,0.109156246448,0.10938006591,0.7049963634523587,0.18359298712435848,2.0
424,0.52882852867,242.22222222,0.5672820593600001,0.60980818669,0.44962611085,0.48644238852,0.51479320867,0.51951899423,0.51516633942,0.7058255558900001,0.5710289222899999,0.64901617345,0.15868539965999998,0.13974052242,0.2130968961,0.19315949564,0.18319614444,0.43061489718,0.17617356458,11715.548159,0.0053898917047,3533.9520886999994,4.3643578047,0.0019056144871,1249.4407431,1.5430334996,1.2311626062,-0.07896757182500003,0.7589491630530001,-0.7099551755462105,0.17913083693165402,0.053683641518000015,0.06731497574599997,0.7461542431075114,0.14754302395462865,0.04391394654900002,0.41660745769900004,0.780089580606136,0.11962746545225995,2.0
387,0.60724366636,271.25925926,0.38709831052,0.60885267192,0.44685648228,0.50971143832,0.45889690705,0.55569049064,0.58526816964,0.6004122868199999,0.7087926566600001,0.65177768469,0.19972966728,0.1007326288,0.61861518305,0.22011768189,0.24584249919,0.24721746962,0.23618555535,35869.009851,0.010240794239,2203.1982553000007,4.75,0.0035137794965000003,755.95238763,1.6298006013,1.3399502609,0.03412193684,0.4926614908480001,0.4399804156868649,0.4584386878164972,0.008531866083999992,0.20422297641399997,0.6746137541624304,0.2115963393200421,0.030777295958999987,0.449663970617,0.8401375749742042,0.07486092514891197,2.0
898,0.31985792305,410.83870968,0.56017463382,0.43780581782,0.40517601517,0.32552195465,0.48856687456,0.626553852,0.5676558871199999,0.5923666614699999,0.57587250775,0.56108010998,0.07920298121199999,0.16260550744000002,0.6219529053,0.34150598663000004,0.19671389445,0.31053872090999995,0.319960739,632679.33892,0.13798122764,1830.3011974,15.891733894000001,0.044695496188000006,592.87934734,5.1477214968,4.4829753638,0.038399204889000005,0.4361795802669999,0.8891432744484936,0.043563246063972716,0.058591832394599995,0.07380896725660001,0.8375138320577491,0.07667957107459715,0.061277842619999974,0.33629951810000003,0.8069064854280459,0.09885268851342653,3.0
684,0.47716779172,291.9047619,0.53741141942,0.52752310228,0.36945305342,0.4504350825399999,0.43863267002,0.0,0.5253277537200001,0.48753184339,0.55037903025,0.0,0.1230682978,0.066609416548,0.48166022482,0.0,0.13775906768,0.16513217953,0.19781287812,78011.898406,0.020481588478000003,2000.0665013,6.4003546001,0.006479089256300001,632.69552525,2.0246705362,1.8055066982,-0.007875814409000004,0.44302219858099995,-0.052794181718971336,0.9328115992220442,0.014418157390000004,0.08150001245599997,0.30259591384643725,0.6206860391294439,0.016088860540000017,0.33211888831399994,0.11813405269670893,0.8499376404158278,2.0
580,0.5333623052199999,282.475,0.55453282655,0.5502694793999999,0.40803634217,0.49157709154,0.48654946263,0.55787101749,0.54704835891,0.51005278362,0.63244167934,0.6425314952000001,0.15140839226,0.08640475161,0.47910388732,0.26598919258000003,0.15779039775,0.20954383691,0.24778530641,54899.8853,0.014013718432,1949.0281216,5.2261966393,0.0049692346192,691.1212082999998,1.8531981638,1.4742828527,-0.006442233136999986,0.5911025729730001,-0.1516989819916113,0.8075942457334456,0.020626579796,0.14462368579399998,0.6317425720489956,0.2529189151343785,0.009745028043999987,0.489384658706,0.4765280970938686,0.4170820149135673,2.0
227,0.57292099978,286.7,0.64523130458,0.69279727742,0.41054151982,0.55894288464,0.549643887,0.3276460641,0.59413139157,0.5585359027100001,0.68638868285,0.33890026988000005,0.21895330216,0.091058311845,0.6385819339600001,0.10715165982,0.20509474532,0.20187431219,0.23523114829,83744.79888300001,0.018325631796,1671.0210539,5.5337615197000005,0.0055557732023000005,506.60266968,1.6776678862,1.5610453036,-0.006727330864999982,0.620561886333,-0.07180293899869965,0.9086562766188472,-0.0004021576969999941,0.194867506647,-0.012685773944459376,0.9838484041900732,0.004367354071000018,0.5046779637909999,0.06414871972976623,0.918379365311216,2.0
1,0.61597829011,290.17391304,0.40165481337,0.53882023692,0.49436101945,0.56746287618,0.56542142337,0.5915809294600001,0.64869951365,0.5585023499399999,0.72884636699,0.6124498896399999,0.25767958556,0.19935689148,0.57505386963,0.31347226312,0.26522237245,0.27469778192,0.34281428446,31611.387095,0.0097018050685,2343.5682272,4.768316485400001,0.0032896006428,794.63599736,1.6167977881,1.3451172461,0.039965881904000015,0.451467389598,0.5323455614142495,0.3557319217244454,0.011162830473000002,0.257288766083,0.4881177545175587,0.4041556185488679,0.00653570377999998,0.56672630718,0.2790630413038315,0.64935308074366,2.0
268,0.51720116419,255.2,0.4981480404,0.36442962076,0.5625691098300001,0.36946639454,0.3833656453,0.36753897227,0.3939105153099999,0.46453566211,0.5795110464100001,0.5335224029600001,0.10233035622000003,0.20958578236,0.51060909459,0.059750006091,0.094083850449,0.14263505498,0.099612797797,23237.398861,0.0080848375571,2650.4640665,4.6291004989,0.0026542138483,870.13478999,1.5197117521,1.3058451412999998,0.037372195367000025,0.3851274549229999,0.7342987822451936,0.15769186419262562,0.008613834486799999,0.073840909647,0.4618902486292474,0.4335402973138351,0.020068340514999998,0.33555841636100003,0.7948301858242041,0.10806003774243088,2.0
859,0.44878739742,517.43715847,0.53230528728,0.42478512013,0.36785008504,0.43389430589,0.4424998005,0.5248381639,0.5213481746999999,0.4803708162300001,0.56214571323,0.52063987461,0.19542146596,0.11353624136,0.5541613022199999,0.29138964411,0.23138642359,0.2828991296,0.28983243342,181082.79414,0.044736101149000014,2060.0931407000007,9.6000278707,0.010630528104000002,489.53479329,2.2812306718,2.7081178632,0.028859279012999974,0.4322296224550001,0.8278060186772456,0.08352426958168795,0.023340133711,0.188165418203,0.8596094983668057,0.06179832644591176,0.01718013948800002,0.42904983378,0.6380311296774465,0.24673281789000745,3.0
823,0.47691283813,397.22368421,0.6146247500500001,0.6103178525999999,0.41158662149,0.52462711844,0.59613438022,0.48365993853,0.62823460925,0.6291468154500001,0.66769703671,0.47046287019,0.22284465056,0.13464916385,0.70564439057,0.28172042217,0.28942916231,0.32066166890000003,0.33462600978,115299.07965,0.031261371887,2277.4357905,8.4377584225,0.011078817184,807.10772582,2.9902840905000003,2.3802477052,0.02437253626,0.5406317712439999,0.4315338402854,0.46811839781139,0.024083088415000016,0.217607117499,0.8787906994988434,0.04972558144075346,0.024113962305000014,0.500018685463,0.5838532509498014,0.3013266814494036,3.0
126,0.56682925544,246.07692308,0.59887818011,0.56226106242,0.48441040007,0.4807563613100001,0.49591289788,0.31357956223,0.57579956404,0.59936773777,0.60625007821,0.3984201754,0.14325917549,0.13652315282,0.6639051408300001,0.11052042809,0.18982773874000006,0.28642263536,0.26073360988,22883.424794,0.0086238267276,2896.1168336,4.9975603804,0.0028647667368000003,962.06700726,1.6601498609999998,1.4097857549,0.02106600549200002,0.502744910918,0.3314977913732998,0.5857869928571656,0.035723279088,0.09098288024800001,0.7536159158611091,0.1412578743251928,0.03171094190799998,0.397950398922,0.4461468601557218,0.4514000372236481,2.0
303,0.44964626431,323.80645161,0.63651889788,0.47747057157,0.59880595406,0.4936627344899999,0.5220197782399999,0.5403318299000001,0.56950147129,0.5471197398300001,0.66438726049,0.6156368215,0.19734219968,0.30395818998,0.60942645055,0.21697757529,0.19780510701,0.21760132367,0.24419491635,73210.145433,0.018864620967,1967.7687766,6.0927179584000015,0.0061513282872,641.64510699,1.9866981897,1.7187240038,0.029178012056999988,0.513153964227,0.6394043517022201,0.2453874960970893,0.008690805732000002,0.18871180720400002,0.7167445595176848,0.17307274119464172,0.015439570373000032,0.4882083996309999,0.8575150058126023,0.06316561133158502,2.0
187,0.50006951213,237.45454545,0.56466691256,0.45265067279,0.34469574094000005,0.32732753515,0.4638089460100001,0.47691618681,0.44783579171,0.4793723779899999,0.54451235652,0.6178891944899999,0.01990221112,0.030900830501000006,0.60234305382,0.13455019489,0.12499853998,0.2027803883,0.10542783245,27963.532119,0.0086238267275,2374.8158036,4.5254833996,0.0029025455122,799.29840556,1.5231546212,1.2766152973,0.027923020601999998,0.47264337623,0.6799325126616667,0.20661394496470176,0.034618564682999994,0.013676139299000007,0.8325344948839711,0.08016782283119543,0.028811653137999983,0.3526172081200001,0.7151287007788043,0.1745091284765181,2.0
304,0.6419361404,274.15,0.4584400608,0.33212970923,0.52030835549,0.36437298625,0.69697890068,0.4976955018,0.5480400510100001,0.55339151697,0.66341769695,0.6072213007899999,0.15156600509999998,0.19341637939,0.6070383894100001,0.19073452476,0.38340483262,0.22137373724,0.23260298558000006,21644.333165,0.0080848375571,2854.3459178000007,4.8038446142,0.0024104328486,851.00153379,1.4322297481,1.3551395461000002,0.07547949965100002,0.3072109324829999,0.8779938740222216,0.05021047545016494,-0.001118638275999989,0.239292331888,-0.02004879593690834,0.9744747904007758,0.02290982117700001,0.463366327811,0.3028945580796154,0.6203236378338766,2.0
796,0.43565239939,551.72131148,0.36478052983,0.3658248893,0.5036565368399999,0.41575447933,0.34249980992,0.36299448667,0.30354513153,0.46407218879,0.4924473413100001,0.23365371618,0.19616630638,0.25790066366000003,0.46109100325,0.17938911285999998,0.16659689257000002,0.24578235577,0.11705929871,72414.355489,0.015091696773,1746.1880909,5.1335115834,0.0051486868216,595.72993989,1.7513500194999998,1.4481368812,0.031819903938000015,0.2880997841599999,0.4969033798278171,0.3944202461101792,0.004969450491999993,0.16609044178200005,0.1682364017484179,0.786809553526221,0.005768074052999996,0.360468997089,0.14482539244934026,0.8162492306480515,3.0
