,PT_NDMI_0,PT_NDMI_1,PT_NDMI_2,PT_NDMI_3,PT_NDMI_4,PT_NDMI_5,PT_NBR_0,PT_NBR_1,PT_NBR_2,PT_NBR_3,PT_NBR_4,PT_NBR_5,PT_NDVI_0,PT_NDVI_1,PT_NDVI_2,PT_NDVI_3,PT_NDVI_4,PT_NDVI_5,area,LT_mag,NDVI_slope,NDVI_intercept,NDVI_rvalue,NDVI_pvalue,NDMI_slope,NDMI_intercept,NDMI_rvalue,NDMI_pvalue,NBR_slope,NBR_intercept,NBR_rvalue,NBR_pvalue,label
53829,0.05,0.04,0.05,0.03,0.04,0.12,0.26,0.31,0.32,0.29,0.29,0.4,0.43,0.54,0.55,0.5,0.54,0.58,9675.12,518.75,0.006999999999999985,0.5210000000000001,0.38651034126196215,0.5204231286563727,0.015,0.01100000000000001,0.6503324771430901,0.2347531770080514,0.015000000000000003,0.2769999999999999,0.5212860351426868,0.3677007281581274,1.0
10745,0.01,0.05,0.09,0.09,0.12,0.07,0.28,0.33,0.38,0.4,0.39,0.4,0.39,0.45,0.49,0.54,0.37,0.55,22545.64,281.38,0.008000000000000007,0.4560000000000001,0.1721325931647742,0.7819211386765974,0.007000000000000001,0.06299999999999999,0.4244373438135828,0.4762845626234508,0.015000000000000003,0.335,0.8134892168199608,0.0939399551357818,2.0
38714,0.18,0.1,0.06,0.07,0.12,0.11,0.49,0.46,0.37,0.37,0.4,0.43,0.38,0.51,0.46,0.57,0.58,0.54,25332.93,268.31,0.018000000000000002,0.478,0.5846128222154681,0.300541783592466,0.007999999999999998,0.068,0.4886777774252208,0.4035334019080945,-0.003000000000000003,0.415,-0.12126781251816655,0.8459763034682741,2.0
37285,-0.01,-0.08,-0.03,0.07,0.01,-0.08,0.24,0.17,0.19,0.34,0.31,0.18,0.31,0.34,0.35,0.38,0.45,0.43,289208.76,536.1,0.028,0.30599999999999994,0.9132593022748188,0.03026463105173403,0.003999999999999999,-0.034,0.09913631941932192,0.8739827792511984,0.013999999999999995,0.196,0.2751983968897629,0.65408096572333,2.0
17483,0.05,-0.09,-0.07,-0.03,-0.05,0.03,0.24,0.08,0.12,0.22,0.17,0.29,0.26,0.22,0.27,0.31,0.23,0.34,39953.85,537.72,0.020000000000000004,0.214,0.6166264159782074,0.2679553686071973,0.026,-0.12,0.8928436656664788,0.04142418491277164,0.047,0.035,0.8992025098572227,0.037829509002926094,1.0
31573,0.06,0.13,0.18,0.19,0.17,0.26,0.37,0.45,0.53,0.53,0.47,0.58,0.42,0.52,0.62,0.62,0.57,0.64,854566.63,395.38,0.019,0.5370000000000001,0.6157935373745561,0.268790562910658,0.025,0.111,0.8370619127280313,0.07699417892907925,0.019999999999999987,0.4520000000000001,0.606339062590832,0.2783193560920393,2.0
34255,-0.05,0.23,0.12,0.27,0.3,0.3,0.24,0.56,0.47,0.62,0.65,0.65,0.46,0.66,0.6,0.72,0.57,0.76,35537.22,411.59,0.016999999999999994,0.611,0.33811184577468506,0.5778517484541241,0.031999999999999994,0.14800000000000002,0.6743196031377432,0.21187285289583435,0.036000000000000004,0.48200000000000004,0.7442084075352505,0.14919518285984248,2.0
52858,-0.04,0.06,-0.08,-0.02,-0.02,-0.01,0.21,0.2,0.14,0.2,0.2,0.2,0.3,0.22,0.36,0.41,0.42,0.4,542556.73,364.5,0.04200000000000001,0.236,0.804131560120858,0.10094631828070512,-0.007999999999999998,0.009999999999999992,-0.254000254000381,0.6801087390907959,0.006,0.16999999999999998,0.3535533905932737,0.5594043441634878,2.0
47567,0.06,0.13,0.14,0.1,0.18,0.13,0.27,0.38,0.42,0.37,0.45,0.44,0.48,0.52,0.55,0.54,0.51,0.53,4330.82,421.83,-0.0020000000000000018,0.536,-0.2,0.7470600781046619,0.0039999999999999975,0.124,0.21952851997938064,0.7227492021832254,0.015000000000000003,0.36700000000000005,0.6655173820620853,0.22019347905907574,1.0
44974,0.08,-0.07,-0.03,-0.04,0.05,-0.02,0.57,0.14,0.21,0.21,0.21,0.26,0.14,0.29,0.29,0.31,0.39,0.41,3770.7,323.86,0.034,0.236,0.9329962099123679,0.020609582469198088,0.018000000000000002,-0.076,0.6412234498911867,0.2436084328095407,0.024,0.13399999999999995,0.8870655251454874,0.044779210913998016,1.0
37489,-0.02,-0.23,-0.15,-0.01,-0.03,0.02,0.27,-0.11,0.03,0.2,0.21,0.27,0.38,0.25,0.33,0.22,0.46,0.49,158122.09,642.5,0.061,0.16699999999999998,0.7941523569830254,0.10858413985789846,0.06200000000000001,-0.2660000000000001,0.9263021722341552,0.023749570404982764,0.094,-0.162,0.949543391879078,0.013501947367268523,1.0
56825,-0.02,-0.06,-0.11,-0.11,0.03,0.03,0.22,0.13,0.09,0.09,0.21,0.21,0.38,0.26,0.28,0.34,0.25,0.23,110009.24,286.77,-0.009000000000000003,0.29900000000000004,-0.33824071260127303,0.5776973371538072,0.031999999999999994,-0.13999999999999996,0.7169771439171532,0.17286627060156656,0.028,0.062,0.7298004491997615,0.16159368554794282,2.0
12439,-0.04,0.03,0.04,0.03,0.07,0.11,0.19,0.26,0.29,0.27,0.37,0.41,0.31,0.38,0.46,0.44,0.46,0.48,26464.46,411.11,0.02,0.384,0.8219949365267865,0.08770664700806546,0.019000000000000003,-0.0010000000000000009,0.8745458870034073,0.05232570311764472,0.038,0.206,0.9057894597833128,0.0342175336064209,2.0
9854,0.32,0.2,0.32,0.22,0.18,0.22,0.67,0.49,0.62,0.56,0.49,0.56,0.63,0.44,0.64,0.62,0.53,0.62,23449.97,232.55,0.025,0.4950000000000001,0.469116640650501,0.425397080963537,-0.010000000000000005,0.258,-0.2926028679903265,0.6328330264982571,0.001000000000000012,0.541,0.028724249481071638,0.9634321795603268,1.0
50412,-0.03,-0.0,0.06,0.09,0.12,0.19,0.16,0.23,0.33,0.34,0.4,0.47,0.34,0.44,0.47,0.46,0.53,0.54,1211865.49,583.18,0.026000000000000013,0.4099999999999999,0.9262116498428256,0.023793009812899203,0.044,-0.040000000000000015,0.9868348688357648,0.0018097231866328765,0.054999999999999986,0.18900000000000008,0.976553633314098,0.00429451255497386,1.0
